Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
World,IMAGE - RCP3-PD (2.6),Concentration - CO2,ppm,368.865,378.813,389.285,412.068,430.783,440.222,442.700,441.673,437.481,431.617,426.005,420.895,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,IMAGE - RCP3-PD (2.6),Concentration - CH4,ppb,1751.023,1753.735,1773.128,1730.518,1600.215,1527.098,1451.540,1365.106,1310.651,1285.405,1268.282,1253.628,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,IMAGE - RCP3-PD (2.6),Concentration - N2O,ppb,315.850,319.440,322.957,329.208,334.297,338.758,341.896,343.192,343.744,344.161,344.261,344.016,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,IMAGE - RCP3-PD (2.6),Concentration - CO2-eq. (GHGs only),ppm,415.858,428.653,442.761,470.821,490.699,501.433,503.321,499.944,494.224,487.717,481.394,475.193,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,IMAGE - RCP3-PD (2.6),Concentration - CO2-eq. (incl. all forcing agents),ppm,364.367,375.107,390.125,423.464,445.154,455.980,455.441,447.834,441.343,436.475,431.473,426.963,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,IMAGE - RCP3-PD (2.6),Forcing - Total,W/m2,1.723,1.904,2.129,2.584,2.862,2.999,2.998,2.918,2.854,2.808,2.759,2.714,"1) Total radiative forcing excludes mineral dust and the effect of land albedo.
2) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon."
World,IMAGE - RCP3-PD (2.6),Forcing - CO2,W/m2,1.543,1.690,1.840,2.154,2.395,2.513,2.548,2.541,2.495,2.429,2.365,2.307,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,IMAGE - RCP3-PD (2.6),Forcing - CH4,W/m2,0.485,0.486,0.495,0.474,0.424,0.395,0.363,0.327,0.304,0.293,0.285,0.278,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,IMAGE - RCP3-PD (2.6),Forcing - N2O,W/m2,0.145,0.156,0.167,0.187,0.203,0.216,0.226,0.229,0.231,0.232,0.233,0.232,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,IMAGE - RCP3-PD (2.6),Forcing - Halocarbons (total),W/m2,0.332,0.340,0.344,0.346,0.329,0.301,0.273,0.253,0.243,0.236,0.229,0.220,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
