Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
World,AIM - RCP 6.0,Concentration - CO2,ppm,368.865,378.813,389.072,409.360,428.876,450.698,477.670,510.634,549.820,594.257,635.649,669.723,
World,AIM - RCP 6.0,Concentration - CH4,ppb,1751.023,1753.735,1768.688,1785.791,1795.924,1840.651,1894.850,1939.391,1961.826,1940.166,1819.142,1649.396,
World,AIM - RCP 6.0,Concentration - N2O,ppb,315.850,319.440,323.071,330.202,337.159,345.339,354.592,364.714,375.515,386.465,396.859,406.265,
World,AIM - RCP 6.0,Concentration - CO2-eq. (GHGs only),ppm,415.858,428.653,442.380,469.324,494.974,524.967,562.025,606.679,658.827,715.961,764.288,799.868,
World,AIM - RCP 6.0,Concentration - CO2-eq. (incl. all forcing agents),ppm,364.367,375.014,387.607,415.770,445.562,470.718,505.132,542.447,599.425,656.941,698.566,728.124,
World,AIM - RCP 6.0,Forcing - Total,W/m2,1.723,1.901,2.089,2.480,2.854,3.146,3.521,3.905,4.443,4.932,5.255,5.481,1) Total radiative forcing excludes mineral dust and the effect of land albedo.
World,AIM - RCP 6.0,Forcing - CO2,W/m2,1.543,1.690,1.836,2.117,2.374,2.648,2.966,3.329,3.729,4.146,4.503,4.783,
World,AIM - RCP 6.0,Forcing - CH4,W/m2,0.485,0.486,0.493,0.498,0.502,0.519,0.539,0.554,0.562,0.553,0.506,0.442,
World,AIM - RCP 6.0,Forcing - N2O,W/m2,0.145,0.156,0.168,0.190,0.212,0.237,0.265,0.296,0.328,0.359,0.389,0.416,
World,AIM - RCP 6.0,Forcing - Halocarbons (total),W/m2,0.332,0.340,0.344,0.346,0.339,0.316,0.272,0.236,0.211,0.194,0.180,0.168,
World,AIM - RCP 6.0,"Forcing - Other (aerosols, O3, etc)",W/m2,-0.781,-0.772,-0.751,-0.671,-0.573,-0.575,-0.521,-0.509,-0.386,-0.320,-0.322,-0.328,
R5ASIA,AIM - RCP 6.0,CO2 emissions - Total,PgC/yr,2.124,3.054,3.342,3.764,4.480,5.638,6.761,7.903,8.728,9.176,7.605,6.997,
R5LAM,AIM - RCP 6.0,CO2 emissions - Total,PgC/yr,0.736,0.753,0.689,0.651,0.444,0.410,0.536,0.712,0.911,1.153,0.812,0.840,
R5MAF,AIM - RCP 6.0,CO2 emissions - Total,PgC/yr,0.827,0.938,0.772,0.537,0.424,0.734,1.217,1.843,2.636,3.108,2.795,3.158,
R5OECD,AIM - RCP 6.0,CO2 emissions - Total,PgC/yr,3.317,3.474,3.595,3.516,3.262,3.255,3.270,3.259,3.151,2.974,2.382,1.939,
R5REF,AIM - RCP 6.0,CO2 emissions - Total,PgC/yr,0.880,0.949,0.991,0.890,0.827,0.803,0.796,0.849,1.050,1.114,0.962,1.000,
World,AIM - RCP 6.0,CO2 emissions - Total,PgC/yr,7.884,9.167,9.389,9.357,9.438,10.840,12.580,14.566,16.477,17.525,14.556,13.935,
R5ASIA,AIM - RCP 6.0,CO2 emissions - Fossil fuels and Industry,PgC/yr,1.768,2.608,2.923,3.358,4.185,5.345,6.452,7.604,8.438,8.820,7.203,6.617,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5LAM,AIM - RCP 6.0,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.371,0.412,0.422,0.406,0.438,0.555,0.641,0.761,0.883,0.989,0.633,0.658,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5MAF,AIM - RCP 6.0,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.581,0.710,0.775,0.897,1.160,1.462,1.836,2.348,2.947,3.291,2.958,3.337,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5OECD,AIM - RCP 6.0,CO2 emissions - Fossil fuels and Industry,PgC/yr,3.191,3.348,3.435,3.397,3.345,3.349,3.289,3.241,3.175,3.063,2.556,2.136,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5REF,AIM - RCP 6.0,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.824,0.892,0.957,0.893,0.867,0.844,0.826,0.872,1.064,1.117,0.964,1.005,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
World,AIM - RCP 6.0,CO2 emissions - Fossil fuels and Industry,PgC/yr,6.735,7.971,8.512,8.950,9.995,11.554,13.044,14.824,16.506,17.281,14.313,13.753,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
